repeat_number,repeat_measurement_range,measurement_in_repeat,dataset_row,inference_ms,compute_ms,cycle_ms,period_ms,start_jitter_ms,lateness_ms,deadline_miss
2,41–80,31,31,0.4257059999872581,1.0264279999319115,1.0636360000262357,100,0.18443399994794163,0.0,0
2,41–80,32,32,0.46753599997373385,1.0754249999536114,1.1157239999874946,100,0.15574799999740208,0.0,0
2,41–80,33,33,0.46863000000030297,1.208388999998533,1.264551000076608,100,0.10836999990715412,0.0,0
2,41–80,34,34,0.49067400004787487,1.1843290000115303,1.2305540000170367,100,0.08962000003975845,0.0,0
2,41–80,35,35,0.4363530000546234,1.1590939999450711,1.2092739999616242,100,0.3534300000183066,0.0,0
2,41–80,36,36,0.5082100000208811,1.2466160000030868,1.2939609999875756,100,0.11907199996130657,0.0,0
2,41–80,37,37,0.45628399993802304,1.2156300000469855,1.2630150000632057,100,0.13590999992629804,0.0,0
2,41–80,38,38,0.5069499999308391,1.251580000030117,1.3052979999201852,100,0.11824899991097482,0.0,0
2,41–80,39,39,0.498324999966826,1.3618440000300325,1.4177829999653113,100,0.11176999998951942,0.0,0
2,41–80,40,40,0.32194899995374726,0.8277279999902021,0.8737489999930403,100,0.20342400000572525,0.0,0
3,81–120,1,1,0.3305529999124701,0.8349009999619739,0.869764000071882,100,0.20028299991281528,0.0,0
3,81–120,2,2,0.3310910000209333,0.9047710000231746,0.9405680000327266,100,0.20974899996417662,0.0,0
3,81–120,3,3,0.34428199990088615,0.9451660000650008,0.9825710000086474,100,0.20515699986844993,0.0,0
3,81–120,4,4,0.49798800000644405,1.3598809999848527,1.4112359999671753,100,0.216424999962328,0.0,0
3,81–120,5,5,0.2837619999809249,0.7936819999940781,0.8282950000193523,100,0.17579099994691205,0.0,0
3,81–120,6,6,0.3458169999248639,0.8771830000569025,0.910977999978968,100,0.19342600000982202,0.0,0
3,81–120,7,7,0.4723759999478716,0.9296609999864813,0.9601049999901079,100,0.1863629998979377,0.0,0
3,81–120,8,8,0.3473499999699925,0.8432270000184872,0.878136999972412,100,0.19958899997618573,0.0,0
3,81–120,9,9,0.3322369999523289,0.8292769999798111,0.8626480000657466,100,0.1955660000021453,0.0,0
3,81–120,10,10,0.34222900001168455,0.8584899999277695,0.8895600000187187,100,0.1914780000333849,0.0,0
3,81–120,11,11,0.3028999999514781,0.7949220000682544,0.8295029999771941,100,0.18211600001905026,0.0,0
3,81–120,12,12,0.33202899999196234,0.8246740000004138,0.8576899999752641,100,0.18226199995297065,0.0,0
3,81–120,13,13,0.33323499997095496,0.8290269998951771,0.8620380000365913,100,0.19757199993364338,0.0,0
3,81–120,14,14,0.3230510000094,0.9085399999548827,0.9474979999595234,100,0.20246200006113213,0.0,0
3,81–120,15,15,0.38883299998815346,0.981037000087781,1.0185859999864988,100,0.2496150000297348,0.0,0
3,81–120,16,16,0.3977499999336942,0.9893789999750879,1.0307709999324288,100,0.20957799995358073,0.0,0
3,81–120,17,17,0.403789999950277,0.9686939999937749,1.0067570000273918,100,0.22440699990511348,0.0,0
3,81–120,18,18,0.49430000001393637,1.0728330000802089,1.1119750000716522,100,0.1695129999461642,0.0,0
3,81–120,19,19,0.5105479999656382,1.1348409999527576,1.171238000097219,100,0.18580899995868094,0.0,0
3,81–120,20,20,0.35674700006893545,0.9720860000470566,1.0098719999405148,100,0.23251400000390277,0.0,0
3,81–120,21,21,0.36269999998239655,0.9647910000012416,1.0078069999508443,100,0.2284569999346786,0.0,0
3,81–120,22,22,0.5148850000296079,1.1653779999960534,1.2032820000058564,100,0.187869999990653,0.0,0
3,81–120,23,23,0.5271479999464646,1.1862430000064705,1.2241590000030556,100,0.18131499996343337,0.0,0
3,81–120,24,24,0.414481000007072,1.0540189999801441,1.0931990000244696,100,0.23347900003045652,0.0,0
3,81–120,25,25,0.4743389999930514,1.1142229999450137,1.1566950000769793,100,0.17895300004511228,0.0,0
3,81–120,26,26,0.5080890000499494,1.3915310000811587,1.458386000081191,100,0.11968000001161272,0.0,0
