measurement_number,Run_1_time_ms,Run_2_time_ms,Run_3_time_ms,Run_4_time_ms,Run_5_time_ms,Run_6_time_ms,Run_7_time_ms,Run_8_time_ms,Run_9_time_ms,Run_10_time_ms
30,0.3032684326171875,0.3037452697753906,0.307321548461914,0.3039836883544922,0.3046989440917969,0.3037452697753906,0.3018379211425781,0.3080368041992187,0.3011226654052734,0.3046989440917969
31,0.3068447113037109,0.3037452697753906,0.3120899200439453,0.34332275390625,0.3039836883544922,0.3049373626708984,0.3135204315185547,0.3104209899902344,0.2987384796142578,0.3049373626708984
32,0.3154277801513672,0.3030300140380859,0.3075599670410156,0.311136245727539,0.3032684326171875,0.3023147583007812,0.3046989440917969,0.3063678741455078,0.3328323364257812,0.303506851196289
33,0.3058910369873047,0.303506851196289,0.3075599670410156,0.3061294555664062,0.3049373626708984,0.3008842468261719,0.3042221069335937,0.307321548461914,0.3030300140380859,0.303506851196289
34,0.3082752227783203,0.3025531768798828,0.3058910369873047,0.3068447113037109,0.3206729888916015,0.3049373626708984,0.3025531768798828,0.3082752227783203,0.2994537353515625,0.3004074096679687
35,0.3058910369873047,0.301361083984375,0.3197193145751953,0.3032684326171875,0.3445148468017578,0.34332275390625,0.2994537353515625,0.3154277801513672,0.3015995025634765,0.316619873046875
36,0.3039836883544922,0.3321170806884765,0.3094673156738281,0.3025531768798828,0.360727310180664,0.3528594970703125,0.2985000610351562,0.3082752227783203,0.2994537353515625,0.3058910369873047
37,0.3063678741455078,0.30517578125,0.3116130828857422,0.303506851196289,0.3147125244140625,0.5011558532714844,0.2982616424560547,0.3063678741455078,0.3008842468261719,0.3058910369873047
38,0.3032684326171875,0.3004074096679687,0.3082752227783203,0.3025531768798828,0.3123283386230469,0.5359649658203125,0.2980232238769531,0.3044605255126953,0.2970695495605469,0.303506851196289
39,0.3516674041748047,0.3011226654052734,0.3099441528320312,0.3740787506103515,0.3046989440917969,0.54168701171875,0.3135204315185547,0.3061294555664062,0.2985000610351562,0.3037452697753906
